사용성,개선,오히려,월드,기능,마비,사용성,호환,문제
퀘스트,스크래치,광고,퀘스트,카드,완료,방치,일,광고,콜라보,정신,유저,속눈썹,착용,모자,파트,모자,머리핀,해결,중복,착용,앞머리,착용,붙임머리,포니테일,선택,붙임머리,앞머리,선택,문제,아래,문제,은,중복,착용,허용,해결
체제,읍
캐릭터,소통,단점,첫,자신,캐릭터,사진,있었르,현질,면서,캐릭터,추가,이유,남,캐릭터,사진,젬,꽤,레벨,플레이,젬,기분,나머지
케릭,키,조절,예,식,얼굴,몸,팔다리,신체,조절
스크래치,기분,중단,젠,접속,피해,피해,신고,접지,최대한,점,별,별
게임
업데이트,업데이트,월드,방,검색,기능,방,검색,기능,월드,갈수,그게,재미

퍼즐,스파이,미션,잼
아유
아이,세면,요별

동영상,게시,동영상,동영상,업로드,동영상,길이
마디,코인,출석,젬,노가다,현질,단점,아이템,코인,비교,마지막,템플릿,사용,월드,접속,오류로,마지막,방,만들기,일시,오류
캐릭터,춤
꿀잼
민물고기,선택

무료,가스,경로,추가
안드로이드,설문조사,아이폰,친구,젬,획득,미션,설문조사
테마,테마
별빛,초가
아바타,젬,젬,설문조사,지급,이벤트,젬,이벤트,미션,점프,맵,렉,똑바로,게임,와이파이,문제,이점,젬,지급,플레이어,말,교실,월드,욕,성희롱,신고,정지
특정,형식,광고,강제,종료,이유,일일,미션,완료,보상,광고,추가,보상,해결
아바타,광고,퀘스트,월드,로블,점프,젬,젬
스타,일링,무릎,모습
요전,은설,게임,옛날,스킨,배경
광고,보기,취소,몇,일전,체크
사람,젬,젬,쪼금,수정
업데이트
시제,페로,설치
캐릭터
채팅,보석,는걸,채팅,보석,사람,벼텼어

설치,오류,오류,안떳으
오류,버그
자밌어,게임
욥
누가,랙,별
개시,삭제,버그
점프,마스터
시작,코인,젬,시작,젬,젬
광고,스크래치,글쎄,광고,표시,스크래치,배경화면,요하,스크래치
캐릭터,옷,헤어,장식등
사람,근대,젚속,영어,띠,면서,젚속
시작
광고
맵애,코인

나이,상관
푹,즐겜,유저,젬얻는,방법,선물,크리,템,선물,점,렉,미션,코인,그게,광고,건너,건너,클릭,버퍼링,광고,건너,클릭,점,점,코인,퍼,반대,젬,주네,스크레치,뽑기,확률,조작,점,코인,템,크리,템,가격,코인,출시,코인,가격,출시,젬,젬,스크래치,확률,조작,꼭꼭,코,스크래치,번은
크루,케릭,마음
캐릭터
업데이트,일부러
코인,삭제
옷
광고
게임,놀이
기프트,카드,코인,구매,거절,잼,버그
겜,다른사람,팔로우,곶,영상,겜


크리에이터,템,젬,코인,선물,기능
중독,성도,재미,오류,날때,수정
월드
시작,유저,게시,삭제,삭제,설,라이브,일반인,한텐
게임,렉
러브,다이브,포토,부스
게임,정지,계정,삭제,방법,신고
미션,통해,젬,코인,장점,광고,터치,얼굴,장점,카메라,모드,제스쳐,렉,지장,기능,제각각,무과금러,현질,크리에이터,상점,머리카락,평균,젬이,미션,완료,미션,미션,난이도,친구,선물,줄때,크리에이터,상품,선물,크리에이터,상품,위시,리스트,크리에이터,상품,위시,단점,방면,게임
유저,옷,머리카락,한가지,점,동안,얼굴,저장,저장,저절로
현질,비,현질,유저
진짜진짜,점,젬,청,젬,미션,제공,미션,보상,점

루피,가입
깜직
폰트,사람,안돠,사람
힘
홒
랙,게시,고정,기능
젬좀,무료젬,노가다,보상,실패
와우

리뷰,선물,기능,젬,코인,순,젬,선물,크리에이터,상품,선물
부탁,캐릭터,상태,옷,캐릭터,생김새,표정,제스처
점,다른사람,게임,채팅,점,점,알림
업데이트
변태
크리에이터,아이템,선물,젬
재미,친구,게임
건의,유저,현질,젬,크리에이터,옷,옷,옷,엕,오류로,안보,옷,옷,코디,저장,해논,세트,옷,옷,사람,젬,다시젬

프리미엄,결제,취소
김유민
생일,인증
영상,숨기,기도
젬,뿌리,코인
젠,젬,현질,젬,선물,캐릭터,리샷코,젬,마찬가지,피해,욕,사람,이유,워낙,코인,시작,몇개,젬,빨,리안,소문,공감,계정,검색,이름,옷,심각,현질,옷,젬,별,옷,돈,젬,엊는데,점점,돈,젬
관리자,김똥꼬,닉네임,개월,활동,포토,부스,촬영,로딩,그때,렉,가격,겨우,젬,사려,이득,사람,젬,배려
찜,친구,선물,안보,여요
회원,가입,선물,회원,가입,똑바로,젬좀
게시,물이,시간,삭제
와우
